"Variable","Action","Note"
"Almonds*","delete",""
"Always cook meat thoroughly*","delete",""
"Beef deli meat*","delete",""
"Bleach*","delete",""
"Chicken (not including deli-meats)*","delete",""
"Chicken deli meat*","delete",""
"Contact with any cow*","delete",""
"Deli-meat/cold cuts*","delete",""
"Did you eat any chia product or chia containing products (e.g. granola, cereal, trail mix, snack bars, protein supplements, etc)? [3rd Month Only]*","delete",""
"Diet: unsure","delete",""
"Dishwasher*","delete",""
"Do you use separate cutting boards for raw meat and other foods (e.g. vegetables and fruits)?*","delete",""
"Don't clean*","delete",""
"Don't know / Not sure*","delete","Delete all occurances of this"
"Don't know or not sure type of shawarma/donair*","delete",""
"Dried meat products (e.g. beef jerky)*","delete",""
"Eaten any other foods?*","delete",""
"Fish (e.g. cooked trout or salmon)*","delete",""
"Fish*","delete",""
"Ham (not including deli-meats)*","delete",""
"Ham deli meat*","delete",""
"Hazelnuts*","delete",""
"Main source of drinking water*","delete",""
"Meat juices run clear*","delete",""
"Onions*","delete",""
"Organ meats or offal (e.g. liver, kidney or heart)*","delete",""
"Other type of shawarma/donair*","delete",""
"Other*","delete","Delete all occurances of this"
"Pate/meat spread*","delete","FB1 only - FB2 Q54 should be kept"
"Peanuts*","delete",""
"Pork (not including deli-meats)*","delete",""
"Pork cuts*","delete",""
"Put meat, poultry or seafood in a container*","delete",""
"Put meat, poultry or seafood on the bottom shelf of the refrigerator*","delete",""
"Refused to answer whether the recreational waterpark was indoor or outdoor*","delete",""
"Refused*","delete","Delete all occurances of this"
"Shellfish*","delete",""
"Store-bought hummus*","delete",""
"Store-bought prepared salads*","delete",""
"Taste*","delete",""
"Time*","delete",""
"Turkey deli meat*","delete",""
"Unpasteurized (raw) dairy milk, excluding cheese*","delete",""
"Vinegar*","delete",""
"Visit any farm or barn*","delete",""
"Visit any pet store*","delete",""
"Visually (i.e. no pink meat visible)*","delete",""
"water consumed: unsure/prefer not to answer","delete",""
"Water supplied to main residence","delete",""
"Whole chicken*","delete",""
"Any type of ground meat or meat mixtures (i.e. meatballs, sausages, hamburgers)*","delete","FB1 Q140_FSA - redundant category"
"Chicken or turkey pieces (i.e. breast, legs or wings)*","delete","FB1 Q140_FSD - redundant category"
"Fast food restaurant meal (e.g. burgers, pizza, hot dogs)*","delete","FB1 Q111_dv - use Q110_Q111_dv instead"
"Food from Goodfood","delete","Megan Jan 7 2026 - meal kit services not tracked"
"Food from Chefs Plate","delete","Megan Jan 7 2026 - meal kit services not tracked"
"Food from other meal kit","delete","Megan Jan 7 2026 - meal kit services not tracked"
"Fast food burger*","delete","Megan Jan 7 2026 - use combined fast food variable instead"
"Fast food sub/sandwich*","delete","Megan Jan 7 2026 - use combined fast food variable instead"
"Mexican fast food*","delete","Megan Jan 7 2026 - use combined fast food variable instead"
"Fast food pizza*","delete","Megan Jan 7 2026 - use combined fast food variable instead"
"Other fast food*","delete","Megan Jan 7 2026 - use combined fast food variable instead"
