variable_name,exposure_number,BC,AB,SK,MB,ON,QC,NB,NS,PE,NL,YT,NT,NU,Canada
anytom,3,76.71864430952945,74.92578113229709,67.93771113077514,69.63987605520087,77.10315175575172,78.94207943712591,70.92049880862093,70.27137958831796,62.52552981800338,68.11744508823676,80.53132840577098,73.90549552216419,47.606335540467455,76.14560415713399
tomcherry,4,48.84609947067972,44.753211684934904,35.24251979398225,35.942748925925805,44.74091506585066,53.38975339275039,34.734124543069846,35.711369229754176,31.25992747836529,34.4516731618398,56.75978709908339,42.97455328612741,30.8236231659238,46.068210070176605
fb1_tomatoesonasandwichburgerortacoatrestaurantorfastfoodestablishment,5,22,24.6,19.6,15.3,22.4,15.7,16.8,22,17.6,16.4,13.6,8.6,9.3,20.4
tomroma,6,30.6,30.3,25.8,24.1,24.9,23.8,13.5,27.5,18.2,18.3,28.8,21.1,18.9,25.7
tomhot,7,42.8,35.8,27.1,29.4,33.7,49.7,35.3,34.8,35.8,20.8,26.1,17.9,13.5,38.3
tombeef,8,12.2,14.1,11.9,16.8,15,6.7,10.2,11.6,6.8,9.4,9.9,8.6,5.9,12.2
anylg,9,84.0597951753106,83.07031514824095,76.8059692360502,76.91810464779155,84.9227580588765,83.21646345366783,77.31512198300304,78.27337277731652,81.87665353296346,78.88691186472253,88.45693083484171,80.29410887075147,54.085716339006204,83.19574463595714
iceberg,10,38.20556216239691,42.42136235560848,42.053656606976524,44.01285709318219,44.56954649287629,38.76489224279639,45.75824338250046,43.60613908466192,44.025443077768514,45.743760365122974,42.5515416457803,42.40531444241996,19.24916515176719,41.99708582635622
romaine,11,57.55227743438071,58.25668869799863,52.614341233028505,50.49674243522205,60.509917965628134,54.01055813724264,44.582753492112126,47.66604926085179,50.81140496375147,51.282142472865274,60.33111808447875,43.136595406529445,35.03863288884973,56.83296353928415
spinach,12,45.47097008129907,40.954953619923174,29.93954330895762,38.354146803923136,41.57486582617455,30.93477883597582,31.75356070149612,39.40002011645957,35.0189677018586,36.78355934176348,49.54773244787772,25.33801240821823,18.29585372257663,38.66594899255702
mesclun,13,30.878081712414968,21.83312105308149,14.99506274354792,15.644255107472121,24.624842438513983,20.477767076870386,18.066440575963373,21.844847371508184,24.951699071709506,14.970818997842509,28.56322826559559,19.740016472027424,3.67176220261446,23.165523280343848
