"variable_name","exposure_number","category_en","category_fr","exposure_en","exposure_fr","is_foodbook1_only"
"anytom",3,"VEGETABLES","LÉGUMES","Any tomatoes","Tomates (n’importe laquelle)",FALSE
"tomcherry",4,"VEGETABLES","LÉGUMES","Cherry or grape tomatoes","Tomates raisins ou tomates cerises",FALSE
"fb1_tomatoesonasandwichburgerortacoatrestaurantorfastfoodestablishment",5,"VEGETABLES","LÉGUMES","Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*","Tomates dans un sandwich, un hamburger ou un taco provenant d'un restaurant ou d'un restaurant-minute*",TRUE
"tomroma",6,"VEGETABLES","LÉGUMES","Roma/plum tomatoes*","Tomates Roma/italiennes*",TRUE
"tomhot",7,"VEGETABLES","LÉGUMES","Hothouse tomatoes*","Tomates de Serre*",TRUE
"tombeef",8,"VEGETABLES","LÉGUMES","Beefsteak tomatoes*","Tomates Cœur de bœuf*",TRUE
"anylg",9,"VEGETABLES","LÉGUMES","Any lettuce or leafy greens","Laitue ou légumes-feuilles",FALSE
"iceberg",10,"VEGETABLES","LÉGUMES","Iceberg lettuce","Laitue Iceberg",FALSE
"romaine",11,"VEGETABLES","LÉGUMES","Romaine lettuce","Laitue Romaine",FALSE
"spinach",12,"VEGETABLES","LÉGUMES","Spinach","Épinard",FALSE
"mesclun",13,"VEGETABLES","LÉGUMES","Mesclun greens","Mesclun (mélange printanier)",FALSE
"kale",14,"VEGETABLES","LÉGUMES","Kale","Chou frisé",FALSE
"arugula",15,"VEGETABLES","LÉGUMES","Arugula","Roquette",FALSE
"otherlg",16,"VEGETABLES","LÉGUMES","Other leafy greens","Autre légumes-feuilles",FALSE
"fb1_lettuceorleafygreensonasandwichburgerortacoatrestaurantorfastfoodestablishment",17,"VEGETABLES","LÉGUMES","Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*","Laitue ou légumes-feuilles dans un sandwich, un hamburger ou un taco provenant d'un restaurant ou d'un restaurant-minute*",TRUE
"prepacklg",18,"VEGETABLES","LÉGUMES","Pre-packaged lettuce or leafy greens","Légumes-feuilles préemballés",FALSE
"prepacksalad",19,"VEGETABLES","LÉGUMES","Commercially pre-packaged salad kits","Trousse de salade commerciale préemballée",FALSE
"rtegreensal",20,"VEGETABLES","LÉGUMES","Any store-bought or ready to eat green salad","Salade verte du commerce ou prête à manger",FALSE
"cabbage",21,"VEGETABLES","LÉGUMES","Cabbage (includes coleslaw)","Chou (y compris sous forme de salade de chou)",FALSE
"coleslaw",22,"VEGETABLES","LÉGUMES","Any coleslaw","Salade de chou",FALSE
"sprout",23,"VEGETABLES","LÉGUMES","Any microgreens or sprouts","Micropousses ou graines germées",FALSE
"alfalfa",24,"VEGETABLES","LÉGUMES","Microgreens","Germes de luzerne",FALSE
"beansprouts",25,"VEGETABLES","LÉGUMES","Alfalfa sprouts","Germes de haricot",FALSE
"microgreen",26,"VEGETABLES","LÉGUMES","Bean sprouts","Micropousses",FALSE
"osprout",27,"VEGETABLES","LÉGUMES","Other sprouts","Autres germes",FALSE
"cucumber",28,"VEGETABLES","LÉGUMES","Cucumbers","Concombres",FALSE
"bpeppers",29,"VEGETABLES","LÉGUMES","Bell peppers","Poivrons",FALSE
"hotpep",30,"VEGETABLES","LÉGUMES","Hot peppers","Piments forts",FALSE
"pea",31,"VEGETABLES","LÉGUMES","Peas (shelled or in pods)*","Pois (écossés ou non)*",TRUE
"snappea",32,"VEGETABLES","LÉGUMES","Sugar snap peas","Pois mange-tout",FALSE
"gybeans",33,"VEGETABLES","LÉGUMES","Green or yellow beans*","Haricots verts ou jaunes*",TRUE
"carrot",34,"VEGETABLES","LÉGUMES","Any carrots*","Tout type de carottes*",TRUE
