"variable_name","exposure_number","category","exposure","is_foodbook1_only"
"anytom",3,"VEGETABLES","Any tomatoes",FALSE
"tomcherry",4,"VEGETABLES","Cherry or grape tomatoes",FALSE
"fb1_tomatoesonasandwichburgerortacoatrestaurantorfastfoodestablishment",5,"VEGETABLES","Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*",TRUE
"tomroma",6,"VEGETABLES","Roma/plum tomatoes*",TRUE
"tomhot",7,"VEGETABLES","Hothouse tomatoes*",TRUE
"tombeef",8,"VEGETABLES","Beefsteak tomatoes*",TRUE
"anylg",9,"VEGETABLES","Any lettuce or leafy greens",FALSE
"iceberg",10,"VEGETABLES","Iceberg lettuce",FALSE
"romaine",11,"VEGETABLES","Romaine lettuce",FALSE
"spinach",12,"VEGETABLES","Spinach",FALSE
"mesclun",13,"VEGETABLES","Mesclun greens",FALSE
"kale",14,"VEGETABLES","Kale",FALSE
"arugula",15,"VEGETABLES","Arugula",FALSE
"otherlg",16,"VEGETABLES","Other leafy greens",FALSE
"fb1_lettuceorleafygreensonasandwichburgerortacoatrestaurantorfastfoodestablishment",17,"VEGETABLES","Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*",TRUE
"prepacklg",18,"VEGETABLES","Pre-packaged lettuce or leafy greens",FALSE
"prepacksalad",19,"VEGETABLES","Commercially pre-packaged salad kits",FALSE
"rtegreensal",20,"VEGETABLES","Any store-bought or ready to eat green salad",FALSE
"cabbage",21,"VEGETABLES","Cabbage (includes coleslaw)",FALSE
"coleslaw",22,"VEGETABLES","Any coleslaw",FALSE
"sprout",23,"VEGETABLES","Any microgreens or sprouts",FALSE
"alfalfa",24,"VEGETABLES","Microgreens",FALSE
"beansprouts",25,"VEGETABLES","Alfalfa sprouts",FALSE
"microgreen",26,"VEGETABLES","Bean sprouts",FALSE
"osprout",27,"VEGETABLES","Other sprouts",FALSE
"cucumber",28,"VEGETABLES","Cucumbers",FALSE
"bpeppers",29,"VEGETABLES","Bell peppers",FALSE
"hotpep",30,"VEGETABLES","Hot peppers",FALSE
