"variable_name","exposure_number","category","exposure","is_foodbook1_only"
"anytom",3,"LÉGUMES","Tomates (n’importe laquelle)",FALSE
"tomcherry",4,"LÉGUMES","Tomates raisins ou tomates cerises",FALSE
"fb1_tomatoesonasandwichburgerortacoatrestaurantorfastfoodestablishment",5,"LÉGUMES","Tomates dans un sandwich, un hamburger ou un taco provenant d'un restaurant ou d'un restaurant-minute*",TRUE
"tomroma",6,"LÉGUMES","Tomates Roma/italiennes*",TRUE
"tomhot",7,"LÉGUMES","Tomates de Serre*",TRUE
"tombeef",8,"LÉGUMES","Tomates Cœur de bœuf*",TRUE
"anylg",9,"LÉGUMES","Laitue ou légumes-feuilles",FALSE
"iceberg",10,"LÉGUMES","Laitue Iceberg",FALSE
"romaine",11,"LÉGUMES","Laitue Romaine",FALSE
"spinach",12,"LÉGUMES","Épinard",FALSE
"mesclun",13,"LÉGUMES","Mesclun (mélange printanier)",FALSE
"kale",14,"LÉGUMES","Chou frisé",FALSE
"arugula",15,"LÉGUMES","Roquette",FALSE
"otherlg",16,"LÉGUMES","Autre légumes-feuilles",FALSE
"fb1_lettuceorleafygreensonasandwichburgerortacoatrestaurantorfastfoodestablishment",17,"LÉGUMES","Laitue ou légumes-feuilles dans un sandwich, un hamburger ou un taco provenant d'un restaurant ou d'un restaurant-minute*",TRUE
"prepacklg",18,"LÉGUMES","Légumes-feuilles préemballés",FALSE
"prepacksalad",19,"LÉGUMES","Trousse de salade commerciale préemballée",FALSE
"rtegreensal",20,"LÉGUMES","Salade verte du commerce ou prête à manger",FALSE
"cabbage",21,"LÉGUMES","Chou (y compris sous forme de salade de chou)",FALSE
"coleslaw",22,"LÉGUMES","Salade de chou",FALSE
"sprout",23,"LÉGUMES","Micropousses ou graines germées",FALSE
"alfalfa",24,"LÉGUMES","Germes de luzerne",FALSE
"beansprouts",25,"LÉGUMES","Germes de haricot",FALSE
"microgreen",26,"LÉGUMES","Micropousses",FALSE
"osprout",27,"LÉGUMES","Autres germes",FALSE
"cucumber",28,"LÉGUMES","Concombres",FALSE
"bpeppers",29,"LÉGUMES","Poivrons",FALSE
"hotpep",30,"LÉGUMES","Piments forts",FALSE
"pea",31,"LÉGUMES","Pois (écossés ou non)*",TRUE
"snappea",32,"LÉGUMES","Pois mange-tout",FALSE
"gybeans",33,"LÉGUMES","Haricots verts ou jaunes*",TRUE
"carrot",34,"LÉGUMES","Tout type de carottes*",TRUE
"fb1_carrotsnotmini",35,"LÉGUMES","Carottes (pas des mini-carottes)*",TRUE
"minicar",36,"LÉGUMES","Mini-carottes/carottes miniatures",FALSE
"mushroom",37,"LÉGUMES","Champignons",FALSE
"onion",38,"LÉGUMES","Oignons",FALSE
"grnonion",39,"LÉGUMES","Oignons verts",FALSE
