"Exposure","Province.Territory","Proportion"
"Any tomatoes","BC",76.7186443095295
"Any tomatoes","AB",74.9257811322971
"Any tomatoes","SK",67.9377111307751
"Any tomatoes","MB",69.6398760552009
"Any tomatoes","ON",77.1031517557517
"Any tomatoes","QC",78.9420794371259
"Any tomatoes","NB",70.9204988086209
"Any tomatoes","NS",70.271379588318
"Any tomatoes","PE",62.5255298180034
"Any tomatoes","NL",68.1174450882368
"Any tomatoes","YT",80.531328405771
"Any tomatoes","NT",73.9054955221642
"Any tomatoes","NU",47.6063355404675
"Any tomatoes","Canada",76.145604157134
"Cherry or grape tomatoes","BC",48.8460994706797
"Cherry or grape tomatoes","AB",44.7532116849349
"Cherry or grape tomatoes","SK",35.2425197939822
"Cherry or grape tomatoes","MB",35.9427489259258
"Cherry or grape tomatoes","ON",44.7409150658507
"Cherry or grape tomatoes","QC",53.3897533927504
"Cherry or grape tomatoes","NB",34.7341245430698
"Cherry or grape tomatoes","NS",35.7113692297542
"Cherry or grape tomatoes","PE",31.2599274783653
"Cherry or grape tomatoes","NL",34.4516731618398
"Cherry or grape tomatoes","YT",56.7597870990834
"Cherry or grape tomatoes","NT",42.9745532861274
"Cherry or grape tomatoes","NU",30.8236231659238
"Cherry or grape tomatoes","Canada",46.0682100701766
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*","BC",22
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*","AB",24.6
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*","SK",19.6
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*","MB",15.3
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*","ON",22.4
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*","QC",15.7
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*","NB",16.8
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*","NS",22
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*","PE",17.6
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*","NL",16.4
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*","YT",13.6
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*","NT",8.6
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*","NU",9.3
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*","Canada",20.4
"Roma/plum tomatoes*","BC",30.6
"Roma/plum tomatoes*","AB",30.3
"Roma/plum tomatoes*","SK",25.8
"Roma/plum tomatoes*","MB",24.1
"Roma/plum tomatoes*","ON",24.9
"Roma/plum tomatoes*","QC",23.8
"Roma/plum tomatoes*","NB",13.5
"Roma/plum tomatoes*","NS",27.5
"Roma/plum tomatoes*","PE",18.2
"Roma/plum tomatoes*","NL",18.3
"Roma/plum tomatoes*","YT",28.8
"Roma/plum tomatoes*","NT",21.1
"Roma/plum tomatoes*","NU",18.9
"Roma/plum tomatoes*","Canada",25.7
"Hothouse tomatoes*","BC",42.8
"Hothouse tomatoes*","AB",35.8
"Hothouse tomatoes*","SK",27.1
"Hothouse tomatoes*","MB",29.4
"Hothouse tomatoes*","ON",33.7
"Hothouse tomatoes*","QC",49.7
"Hothouse tomatoes*","NB",35.3
"Hothouse tomatoes*","NS",34.8
"Hothouse tomatoes*","PE",35.8
"Hothouse tomatoes*","NL",20.8
"Hothouse tomatoes*","YT",26.1
"Hothouse tomatoes*","NT",17.9
"Hothouse tomatoes*","NU",13.5
"Hothouse tomatoes*","Canada",38.3
"Beefsteak tomatoes*","BC",12.2
"Beefsteak tomatoes*","AB",14.1
"Beefsteak tomatoes*","SK",11.9
"Beefsteak tomatoes*","MB",16.8
"Beefsteak tomatoes*","ON",15
"Beefsteak tomatoes*","QC",6.7
"Beefsteak tomatoes*","NB",10.2
"Beefsteak tomatoes*","NS",11.6
"Beefsteak tomatoes*","PE",6.8
"Beefsteak tomatoes*","NL",9.4
"Beefsteak tomatoes*","YT",9.9
"Beefsteak tomatoes*","NT",8.6
"Beefsteak tomatoes*","NU",5.9
"Beefsteak tomatoes*","Canada",12.2
"Any lettuce or leafy greens","BC",84.0597951753106
"Any lettuce or leafy greens","AB",83.070315148241
