Exposure,Province.Territory,Proportion
Any tomatoes,BC,76.71864431
Any tomatoes,AB,74.92578113
Any tomatoes,SK,67.93771113
Any tomatoes,MB,69.63987606
Any tomatoes,ON,77.10315176
Any tomatoes,QC,78.94207944
Any tomatoes,NB,70.92049881
Any tomatoes,NS,70.27137959
Any tomatoes,PE,62.52552982
Any tomatoes,NL,68.11744509
Any tomatoes,YT,80.53132841
Any tomatoes,NT,73.90549552
Any tomatoes,NU,47.60633554
Any tomatoes,Canada,76.14560416
Cherry or grape tomatoes,BC,48.84609947
Cherry or grape tomatoes,AB,44.75321168
Cherry or grape tomatoes,SK,35.24251979
Cherry or grape tomatoes,MB,35.94274893
Cherry or grape tomatoes,ON,44.74091507
Cherry or grape tomatoes,QC,53.38975339
Cherry or grape tomatoes,NB,34.73412454
Cherry or grape tomatoes,NS,35.71136923
Cherry or grape tomatoes,PE,31.25992748
Cherry or grape tomatoes,NL,34.45167316
Cherry or grape tomatoes,YT,56.7597871
Cherry or grape tomatoes,NT,42.97455329
Cherry or grape tomatoes,NU,30.82362317
Cherry or grape tomatoes,Canada,46.06821007
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*",BC,22
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*",AB,24.6
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*",SK,19.6
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*",MB,15.3
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*",ON,22.4
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*",QC,15.7
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*",NB,16.8
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*",NS,22
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*",PE,17.6
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*",NL,16.4
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*",YT,13.6
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*",NT,8.6
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*",NU,9.3
"Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*",Canada,20.4
