uniqueid,Q145FSD,Q145_E_FS,Q146_FS,Q133_A_dv,Q133_B_dv,Q133_C_dv,Q133_D_dv,Q133_E_dv,Q133_F_dv,Q133_G_dv,Q134_A_dv,Q134_B_dv,Q134_C_dv,Q134_D_dv,AQEND_DATE,month_dv,age_grp_dv,gender,CHI_ADU,AQINTRO4B_dv,AQINTRO4C_dv,AQ165A_dv,AQ165_dv,AQ166_dv,AQ167_dv,cma_dv,QINTRO3,QLANGUAGE_dv,education,income,weight_kg_5pct_dv,height_cm_5pct_dv,bmi_cole_dv,bmi_is_dv,proxy_dv,EXPWEIGHT_CMA2_dv,AQ145_B_FS_dv
1,,,,2,2,2,2,2,2,2,2,2,2,2,20140518,5,1,1,1,1,2,,3,0,2,30,1,1,,4,1,,,,1,2244,
2,,,,1,2,2,2,2,2,1,2,1,2,2,20140528,5,1,2,1,3,2,2,5,1,2,34,1,1,,4,1,1,4,5,1,837,
3,,,,2,2,2,1,2,2,2,2,2,2,2,20140520,5,3,2,1,2,2,2,4,1,3,34,1,1,,4,1,1,2,5,1,909,
4,,,,2,2,2,2,1,2,2,2,2,2,2,20140703,7,7,2,3,,1,,1,0,1,34,1,1,2,2,2,1,1,2,3,2814,
5,,,,2,2,2,2,2,2,2,2,2,2,2,20140610,6,2,1,1,1,3,1,4,1,3,30,1,1,,4,1,,,,1,1496,
6,,,,1,2,2,2,2,2,2,2,2,2,2,20140707,7,2,1,1,1,2,,3,1,2,30,1,1,,4,1,1,1,5,1,1496,
7,,,,2,2,2,2,2,2,2,2,2,2,2,20140506,5,3,2,1,2,2,,4,1,2,10,1,,,2,1,1,1,5,1,2503,
8,,,,1,1,2,2,1,2,2,2,2,2,2,20140508,5,2,2,1,1,3,1,4,1,3,1,1,,,4,1,1,2,5,1,1065,
9,,,,1,1,2,2,1,2,2,2,2,2,2,20140708,7,3,1,1,2,2,2,4,1,2,34,1,1,,4,1,1,1,5,1,1171,
10,,,,2,2,2,2,2,2,2,2,2,2,2,20140506,5,4,2,2,2,3,4,6,1,3,30,1,,,,2,1,2,3,3,3316,
11,,,,1,2,2,2,2,2,2,2,2,2,2,20140617,6,9,2,3,,1,,1,1,1,31,1,1,6,1,3,2,2,3,3,616,
12,,,,2,2,2,2,2,2,2,2,2,2,2,20140612,6,8,2,3,,1,,1,1,1,31,1,1,1,1,4,2,3,4,3,2146,
13,,,,1,2,2,2,1,2,2,2,2,2,2,20140615,6,4,2,1,2,3,1,5,1,3,30,1,1,,2,1,4,1,5,,2364,
14,,,,2,2,2,2,2,2,2,2,2,2,2,20140708,7,2,1,1,1,2,,3,1,1,34,1,1,,4,1,1,1,5,1,1027,
15,,,,1,2,2,2,2,2,2,2,2,2,2,20140707,7,1,1,1,2,2,,4,1,2,34,1,1,,4,1,1,4,5,1,913,
16,,,,2,2,2,2,2,2,2,2,2,2,2,20140417,4,7,2,4,,,,2,1,0,31,1,,2,2,4,4,2,3,3,8582,
17,,,,2,2,2,2,2,2,2,2,2,2,2,20140707,7,4,1,3,,2,,2,1,3,30,1,1,,4,2,4,1,2,3,573,
18,,,,1,2,2,2,2,2,,2,1,2,2,20140510,5,2,2,1,1,2,1,3,1,2,34,1,,,2,1,1,1,5,1,502,
19,,,,2,1,2,2,2,2,2,2,2,2,2,20140506,5,9,2,3,,1,,1,1,1,34,1,,6,2,4,2,2,3,3,599,
20,,,,1,2,2,2,1,2,2,2,2,2,2,20140619,6,10,2,3,,1,,1,2,0,30,1,1,1,1,2,3,1,2,3,1253,
21,,,,1,1,2,2,1,2,2,2,2,2,2,20140709,7,2,2,1,2,2,,4,1,2,34,1,1,,4,1,1,1,5,1,669,
22,,,,2,2,2,2,2,2,2,2,2,2,2,20140412,4,9,2,4,,,,2,1,1,34,1,,4,,4,4,2,3,3,1198,
23,,,,1,2,2,2,2,2,2,2,2,2,2,20140506,5,8,2,3,,2,,2,1,1,34,1,,4,4,3,3,1,2,3,2814,
24,,,,2,2,2,2,2,2,2,2,2,2,2,20140619,6,8,2,3,,3,1,4,1,2,30,1,1,7,4,2,2,1,2,3,14163,
25,,,,2,2,2,2,2,2,2,2,2,2,2,20140613,6,8,2,3,,2,,2,1,2,34,1,1,1,,1,1,1,2,3,1876,
26,,,,1,1,1,1,1,1,2,2,2,2,1,20140709,7,4,1,2,1,3,1,4,1,3,31,1,1,,3,2,5,1,2,3,1023,
27,,,,2,2,2,2,2,2,2,2,2,2,2,20140508,5,3,2,1,1,2,,3,2,2,31,1,,,4,1,1,1,5,1,1191,
28,,,,2,2,2,2,2,2,2,2,2,2,2,20140502,5,9,2,3,,1,1,1,1,1,30,1,,3,1,2,1,2,3,3,1879,
29,,,,1,2,2,2,2,2,2,2,2,2,2,20140623,6,8,1,3,,2,,2,1,2,34,1,1,3,4,5,4,3,4,3,3212,
30,,,,2,2,2,2,2,2,2,2,2,2,2,20140623,6,8,2,3,,1,,1,1,2,30,1,1,6,3,2,1,2,3,3,3541,
31,,,,2,2,2,2,2,2,2,2,2,2,2,20140617,6,10,1,3,,1,,1,1,1,30,1,1,1,1,3,4,1,2,3,3833,
32,,,,2,2,2,2,2,2,2,2,2,2,2,20140506,5,10,1,3,,1,,1,2,0,30,1,,4,1,3,4,2,3,3,3833,
33,,,,1,2,2,2,1,2,2,2,2,2,2,20140708,7,2,1,1,3,2,,5,2,3,34,1,1,,4,1,1,3,5,1,685,
34,,,,2,2,2,2,2,2,2,2,2,2,2,20140611,6,5,2,3,,2,2,2,1,2,30,1,1,6,2,1,2,1,1,3,7081,
35,,,,2,2,2,2,2,2,2,2,2,2,2,20140620,6,10,2,3,,1,,1,2,1,30,1,1,6,,2,1,1,2,3,939,
36,,,,1,2,2,1,2,2,1,2,1,2,2,20140422,4,1,1,4,,,,4,1,1,30,1,,,,1,1,4,5,1,2992,
37,,,,1,2,2,1,1,2,2,2,2,2,2,20140620,6,6,1,2,2,3,3,5,1,3,34,1,1,4,4,3,4,1,2,3,10538,
38,,,,2,2,2,2,2,2,2,2,2,2,2,20140624,6,8,2,3,,1,1,1,1,1,34,1,1,2,,5,2,3,4,3,1407,
39,,,,1,2,2,2,2,2,2,2,2,2,2,20140616,6,8,2,3,,2,,2,2,2,30,1,1,2,4,3,2,2,3,3,5311,
40,,,,2,2,2,2,1,2,1,2,1,2,2,20140624,6,5,1,3,,2,,2,1,2,34,1,1,6,4,3,4,1,2,3,3212,
41,,,,1,2,1,2,1,2,2,2,2,2,2,20140506,5,8,2,3,,1,,1,1,1,10,1,,5,1,3,3,2,3,3,2568,
42,,,,1,2,2,2,1,2,2,2,2,2,2,20140422,4,2,2,4,,,,4,1,2,34,1,,,4,1,1,1,5,1,669,
43,,,,2,2,2,2,2,2,2,2,2,2,2,20140506,5,9,2,3,,1,,1,1,0,34,1,,4,1,,2,,,3,1198,
44,,,,1,2,1,2,2,1,2,2,2,2,2,20140415,4,5,2,4,,,,3,1,1,34,1,,1,,2,3,1,2,3,4222,
45,,,,2,2,2,2,2,2,2,2,2,2,2,20140708,7,2,1,1,1,3,1,4,1,3,34,1,1,,2,,,,,1,685,
46,,,,1,2,2,2,2,2,2,2,2,2,2,20140422,4,5,1,4,,,,3,1,2,1,1,,1,2,5,5,2,3,3,3280,
47,,,,2,2,2,2,2,2,2,2,2,2,2,20140624,6,8,2,3,,2,,2,1,2,1,1,1,5,3,2,1,1,2,3,1691,
48,,,,2,2,2,2,2,2,2,2,2,2,2,20140612,6,9,2,3,,1,,1,1,1,31,1,1,6,2,3,2,2,3,3,616,
49,,,,2,2,2,2,2,2,2,2,2,2,2,20140703,7,10,1,3,,1,,1,2,1,34,1,1,5,4,3,4,1,2,3,642,
50,,,,2,2,2,2,2,2,2,2,2,2,2,20140417,4,4,1,4,,,,3,1,3,30,1,,,1,5,5,3,4,3,9050,
51,,,,2,2,2,2,2,2,2,2,2,2,2,20140611,6,9,2,3,,1,,1,1,0,10,1,1,2,1,1,1,1,2,3,1531,
52,,,,2,2,2,2,2,2,2,2,2,2,2,20140508,5,2,1,1,2,2,,4,1,1,34,1,,,4,1,1,3,5,1,1369,
53,,,,1,1,2,2,1,2,2,2,2,2,2,20140709,7,4,1,1,2,3,,5,2,3,34,1,2,,3,2,3,1,5,,732,
54,,,,1,2,2,1,1,2,2,2,2,2,1,20140506,5,5,2,3,,2,1,2,1,2,34,1,,6,4,5,4,3,4,3,1876,
55,,,,1,2,2,2,1,2,2,2,1,2,2,20140611,6,3,2,1,2,1,,3,1,3,34,1,1,,3,1,1,1,5,1,853,
56,,,,2,2,2,2,2,2,2,2,2,2,2,20140423,4,4,2,4,,,,4,1,2,30,1,,,4,2,2,1,5,,3152,
57,,,,1,2,2,2,2,2,2,2,2,2,2,20140507,5,4,1,1,3,2,,5,1,2,34,1,,,4,4,4,2,5,,1464,
58,,,,2,2,2,2,2,2,2,2,2,2,2,20140703,7,10,2,3,,1,,1,2,0,30,1,1,4,2,2,1,1,2,3,1879,
59,,,,2,2,2,2,2,2,2,2,2,2,2,20140621,6,8,2,3,,2,,2,1,2,30,1,1,2,4,4,5,1,2,3,7081,
60,,,,2,2,2,2,2,2,2,2,2,2,2,20140709,7,4,1,1,1,3,2,5,2,3,30,1,1,,3,3,5,1,5,,1455,
61,,,,1,1,2,2,2,2,2,2,2,2,2,20140619,6,9,2,3,,1,,1,1,1,30,1,1,2,2,5,3,3,4,3,1879,
62,,,,1,2,2,2,2,2,2,2,2,2,2,20140415,4,9,1,4,,,,2,1,1,34,1,,4,4,5,5,3,4,3,1927,
63,,,,1,2,2,2,2,2,1,2,1,2,2,20140613,6,8,2,3,,2,,2,1,2,34,1,1,4,4,3,2,2,3,3,1876,
64,,,,2,2,2,2,2,2,2,2,2,2,2,20140414,4,7,1,4,,,,2,1,2,34,1,,2,4,4,4,2,3,3,3212,
65,,,,2,2,2,2,2,2,2,2,2,2,2,20140709,7,3,2,1,1,3,1,4,1,2,30,1,2,,3,2,,,,1,3152,
66,,,,1,2,1,2,2,2,1,2,2,2,2,20140626,6,2,1,1,2,2,2,4,1,2,34,1,1,,4,1,1,3,5,1,913,
67,,,,1,1,2,1,1,2,2,2,2,2,2,20140623,6,6,2,3,,1,,1,1,1,34,1,1,4,,5,3,3,4,3,1407,
68,,,,2,2,2,2,2,2,2,2,2,2,2,20140626,6,9,2,3,,1,,1,1,0,34,1,1,1,1,2,2,1,2,3,1198,
69,,,,2,2,2,2,2,2,2,2,2,2,2,20140506,5,3,1,1,2,3,,5,1,3,30,1,,,3,1,3,1,5,1,2911,
70,,,,2,2,2,2,2,2,2,2,2,2,2,20140708,7,3,2,1,3,2,,5,1,3,34,1,1,,3,4,5,2,5,1,1421,
71,,,,2,2,2,2,2,2,2,2,2,2,2,20140616,6,10,2,3,,2,2,2,1,0,31,1,1,6,,5,4,3,4,3,2465,
72,,,,2,2,2,2,2,2,2,2,2,2,2,20140506,5,10,2,3,,2,,2,1,0,34,1,,2,2,5,2,3,4,3,2395,
73,,,,2,2,2,2,2,2,2,2,2,2,2,20140709,7,1,1,1,3,2,,5,1,2,34,1,1,,4,1,,,,1,1141,
74,,,,1,1,2,2,2,2,2,2,2,2,2,20140618,6,10,1,3,,2,,2,1,2,34,1,1,6,2,5,5,2,3,3,1285,
75,,,,1,2,2,1,1,2,2,2,1,2,2,20140705,7,2,2,1,1,2,,3,1,1,34,1,1,,3,1,1,1,5,1,753,
76,,,,1,2,2,2,2,2,2,2,2,2,2,20140709,7,3,2,1,3,2,,5,1,2,34,1,1,,2,1,1,1,5,1,1895,
77,,,,2,2,2,2,2,2,2,2,2,2,2,20140709,7,4,1,3,,2,2,2,2,2,30,1,1,,,4,,,,3,573,
78,,,,1,2,2,2,2,2,2,2,2,2,2,20140506,5,8,2,3,,1,,1,1,1,34,1,,5,2,2,2,1,2,3,1407,
79,,,,2,2,2,1,,,,2,2,2,2,20140506,5,8,1,3,,2,,2,1,2,34,1,,6,4,5,5,1,2,3,3212,
80,,,,1,2,2,2,2,2,2,2,2,2,2,20140618,6,9,2,3,,1,,1,1,0,34,1,1,2,1,1,1,1,2,3,1198,
81,,,,2,2,2,2,2,2,2,2,2,2,2,20140624,6,6,2,3,,2,1,2,1,1,34,1,1,5,1,5,2,3,4,3,2814,
82,,,,1,1,2,2,2,2,2,2,2,2,2,20140415,4,9,1,4,,,,2,1,0,34,1,,1,2,3,4,1,2,3,3854,
83,,,,1,2,2,2,2,2,2,2,1,2,2,20140506,5,6,1,2,4,2,,2,1,3,34,1,,2,4,5,5,2,3,3,5269,
84,,,,2,2,2,2,2,2,2,2,2,2,2,20140506,5,8,2,3,,2,,2,2,2,34,1,,6,3,2,1,1,2,3,1407,
85,,,,2,2,2,2,2,2,2,2,2,2,2,20140506,5,10,2,3,,1,,1,2,1,30,1,,2,2,3,1,3,4,3,1253,
86,,,,2,2,2,2,2,2,2,2,2,2,2,20140709,7,1,2,1,1,2,1,3,1,1,1,1,1,,2,1,,,,1,1598,
87,,,,1,2,2,2,2,2,2,2,2,2,2,20140623,6,6,2,2,1,1,,2,1,1,30,1,1,7,4,3,5,1,2,3,30288,
88,,,,2,2,2,2,2,2,2,2,2,2,2,20140507,5,6,1,2,2,2,,4,1,2,34,1,,2,4,4,3,2,3,3,14051,
89,,,,1,2,2,2,2,2,2,2,2,2,2,20140415,4,2,1,4,,,,4,1,2,34,1,,,4,1,1,1,5,1,913,
90,,,,2,2,2,2,2,2,2,2,2,2,2,20140506,5,1,2,1,2,2,,4,1,2,30,1,,,4,1,1,2,5,1,2267,
91,,,,2,2,2,2,2,2,2,2,2,2,2,20140617,6,8,2,3,,2,,2,1,1,10,1,1,6,1,4,1,3,4,3,5136,
92,,,,1,2,2,1,1,2,2,1,2,2,1,20140709,7,3,2,1,1,1,,,1,3,30,1,1,,4,1,1,1,5,1,2364,
93,,,,1,2,2,2,2,2,2,2,2,2,2,20140612,6,10,1,3,,2,2,2,2,0,31,1,1,1,2,4,3,2,3,3,3809,
94,,,,1,2,2,1,1,2,2,2,1,2,2,20140509,5,1,2,1,2,2,,4,1,2,34,1,,,,1,1,1,5,1,669,
95,,,,1,2,2,2,1,2,2,2,2,2,2,20140612,6,9,1,3,,2,,2,2,1,10,1,1,7,,4,4,2,3,2,1656,
96,,,,1,1,1,2,1,2,2,2,2,2,1,20140506,5,7,2,2,1,2,,3,1,2,34,1,,2,4,2,2,1,2,3,6157,
97,,,,2,1,2,2,2,2,2,2,2,2,2,20140617,6,8,2,3,,1,,1,1,0,34,1,1,5,1,3,3,2,3,3,2814,
98,,,,2,2,2,2,2,2,2,2,2,2,2,20140421,4,2,2,4,,,,4,1,2,34,1,,,4,1,1,1,5,1,669,
99,,,,2,2,2,2,2,2,2,2,2,2,2,20140614,6,8,2,3,,3,4,4,1,1,30,1,1,3,3,2,3,1,2,3,21244,
100,,,,1,1,2,2,1,2,2,2,2,2,2,20140614,6,8,2,3,,2,,2,1,2,34,1,1,7,3,3,4,1,2,3,1876,
101,,,,1,1,2,2,1,2,2,2,2,2,2,20140506,5,7,2,2,1,2,2,3,1,2,34,1,,2,2,3,2,2,3,3,6157,
102,,,,1,2,2,1,2,2,2,2,1,2,2,20140617,6,4,1,1,1,2,2,3,1,3,30,1,1,,2,2,4,1,5,,1746,
103,,,,1,2,2,2,2,2,2,2,2,2,2,20140709,7,2,1,1,2,2,,4,1,3,30,1,1,,4,1,1,1,5,1,1496,
104,,,,1,1,2,2,1,2,2,2,2,2,2,20140613,6,10,2,3,,2,,2,1,2,30,1,1,6,,2,4,1,2,3,2505,
105,,,,2,2,2,2,2,2,2,2,2,2,2,20140623,6,8,2,3,,1,1,1,1,1,34,1,1,3,1,3,3,1,2,3,1407,
106,,,,2,2,2,2,2,2,2,2,2,2,2,20140618,6,9,2,3,,2,,2,1,2,31,1,1,6,,2,2,1,2,3,822,
107,,,,2,2,2,2,2,2,2,2,2,2,2,20140709,7,8,1,3,,2,,2,1,0,10,1,1,4,3,4,3,2,3,3,9936,
108,,,,1,2,2,2,1,2,1,2,2,2,2,20140624,6,9,1,3,,2,,2,1,0,34,1,1,1,1,4,4,2,3,3,3854,
109,,,,1,1,2,2,1,2,2,2,2,2,2,20140507,5,4,2,1,2,2,1,4,1,3,34,1,,,2,4,1,3,5,,909,
110,,,,1,2,2,2,1,2,2,2,2,2,2,20140507,5,4,2,1,1,2,2,3,1,3,34,1,,,2,2,2,1,5,,853,
111,,,,1,2,2,2,1,2,2,2,2,2,2,20140626,6,9,1,3,,2,,2,1,2,34,1,1,7,,4,3,2,3,3,1285,
