Variable Name- English,Variable Name- French,Property,ID,Survey Medium,EN Label,FR Label
Unique_id,ID_unique,NUMERIC: Integer,,BOTH,Unique identifier for the observation,Identifiant unique de l'observation
Month_dv,mois_dv,NUMERIC: Integer,,BOTH,Month,Mois
,,,1,,January,janvier
,,,2,,February,février
,,,3,,March,mars
,,,4,,April,avril
,,,5,,May,mai
,,,6,,June,juin
,,,7,,July,juillet
,,,8,,August,août
,,,9,,September,septembre
,,,10,,October,octobre
,,,11,,November,novembre
,,,12,,December,décembre
PT,PT,TEXT,,BOTH,Province/territory of residence,Province/territoire de résidence
,,CHOICE,1,,BC,C.-B.
,,CHOICE,2,,AB,Alb.
,,CHOICE,3,,SK,Sask.
,,CHOICE,4,,MB,Man.
,,CHOICE,5,,ON,Ont.
,,CHOICE,6,,QC,Qc
,,CHOICE,7,,NB,N.-B.
,,CHOICE,8,,NS,N.-É.
,,CHOICE,9,,PE,Î.-P.-É.
,,CHOICE,10,,NL,T.-N.-L.
,,CHOICE,11,,YT,Yn
,,CHOICE,12,,NT,T.N.-O.
,,CHOICE,13,,NU,Nun.
DEMO8,DEMO8,TEXT,,BOTH,Travel outside of P/T of residence in past 7 days,Voyage
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q1_C1,Q1_C1,TEXT,,BOTH,Vegan diet,Régime végétalien
,,CHOICE,1,,Selected,Sélectionné
,,CHOICE,0,,Not selected,Non sélectionné
Q1_C2,Q1_C2,TEXT,,BOTH,Vegetarian diet,Régime végétarien
,,CHOICE,1,,Selected,Sélectionné
,,CHOICE,0,,Not selected,Non sélectionné
Q1_C3,Q1_C3,TEXT,,BOTH,Kosher diet,Régime casher
,,CHOICE,1,,Selected,Sélectionné
,,CHOICE,0,,Not selected,Non sélectionné
Q1_C4,Q1_C4,TEXT,,BOTH,Halal diet,Régime halal
,,CHOICE,1,,Selected,Sélectionné
,,CHOICE,0,,Not selected,Non sélectionné
Q1_C5,Q1_C5,TEXT,,BOTH,No special diet,Pas de régime spécial
,,CHOICE,1,,Selected,Sélectionné
,,CHOICE,0,,Not selected,Non sélectionné
Q1_C6,Q1_C6,TEXT,,BOTH,Diet: unsure,Régime: incertain
,,CHOICE,1,,Selected,Sélectionné
,,CHOICE,0,,Not selected,Non sélectionné
organic_dv,organique_dv,TEXT,,BOTH,Q2. Always or sometimes eats organic produce,Q2. Consommation des produits issus de l’agriculture biologique
,,CHOICE,1,,Sometimes or always eats organic produce,Ne mange que des produits issus de l’agriculture biologique
,,CHOICE,2,,Never eats organic produce/unsure/prefer not to answer,Ne mange jamais de produits issus de l’agriculture biologique
Q3_dv,Q3_dv,TEXT,,BOTH,Q3. Home made baby foods,Q3. Aliments pour bébés faits maison
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q4_dv,Q4_dv,TEXT,,BOTH,Q4. Any tomatoes,Q4. Tomates (n’importe laquelle)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q4A_dv,Q4A_dv,TEXT,,BOTH,Q4a. Grape or cherry tomatoes,Q4a. Tomates cerises ou raisins
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q5_dv,Q5_dv,TEXT,,BOTH,Q5. Any lettuce or leafy greens,Q5. Laitue ou légumes-feuilles
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q5A_dv,Q5A_dv,TEXT,,BOTH,Q5a. Iceberg lettuce,Q5a. Laitue iceberg
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q5B_dv,Q5B_dv,TEXT,,BOTH,Q5b. Romaine lettuce,Q5b. Laitue romaine
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q5C_dv,Q5C_dv,TEXT,,BOTH,Q5c. Spinach,Q5c. Épinards
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q5D_dv,Q5D_dv,TEXT,,BOTH,Q5d. Mesclun lettuce/spring mix,Q5d. Mesclun (mélange printanier)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q5E_dv,Q5E_dv,TEXT,,BOTH,Q5e. Kale,Q5e. Chou frisé
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q5F_dv,Q5F_dv,TEXT,,BOTH,Q5f. Arugula,Q5f. Roquette
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q5G,Q5G,TEXT,,BOTH,Q5g. Other leafy green,Q5g. Autres légumes-feuilles
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q5G_O,Q5G_O,TEXT,,BOTH,"Q5g. Other leafy green, specify:","Q5g. Autres légumes-feuilles, veuillez préciser :"
,,,TEXT,,Please Specify,Veuillez préciser
Q6,Q6,TEXT,,BOTH,Q6. Any pre-packaged leafy greens,"Q6. Légumes-feuilles préemballés, entiers ou émincés"
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q7,Q7,TEXT,,BOTH,Q7. Commercially pre-packaged salad kit,Q7. Trousse de salade commerciale préemballée
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q8_dv,Q8_dv,TEXT,,BOTH,Q8. Any cabbage ,Q8. Chou
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q8A_dv,Q8A_dv,TEXT,,BOTH,Q8a. Coleslaw,Q8a. Salade de chou
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q9,Q9,TEXT,,BOTH,Q9. Store-bought prepared or ready to eat green salad,Q9. Salade verte du commerce ou prête à manger
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q10,Q10,TEXT,,BOTH,Q10. Mini/baby carrots,Q10. Mini-carottes
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q11_dv,Q11_dv,TEXT,,BOTH,Q11. Any microgreens or sprouts ,Q11. Micropousses ou graines germées
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q11A_dv,Q11A_dv,TEXT,,BOTH,Q11a. Microgreens,Q11a. Micropousses
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q11B_dv,Q11B_dv,TEXT,,BOTH,Q11b. Alfalfa sprouts,Q11b. Germes de luzerne
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q11C_dv,Q11C_dv,TEXT,,BOTH,Q11c. Bean sprouts,Q11c. Germes de haricots
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q11D_dv,Q11D_dv,TEXT,,BOTH,Q11d. Other sprouts,Q11d. Autres graines germées
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q12,Q12,TEXT,,BOTH,Q12. Cucumbers,Q12. Concombres
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q13,Q13,TEXT,,BOTH,Q13. Bell peppers,Q13. Poivrons
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q14,Q14,TEXT,,BOTH,Q14. Hot peppers,Q14. Piments forts
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q15,Q15,TEXT,,BOTH,Q15. Sugar snap peas,Q15. Pois mange-tout
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q16,Q16,TEXT,,BOTH,Q16. Mushrooms,Q16. Champignons
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q17_dv,Q17_dv,TEXT,,BOTH,Q17. Any onions,Q17. Oignons
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q17A_dv,Q17A_dv,TEXT,,BOTH,Q17a. Green onions,Q17a. Oignons verts (échalotes)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q17B_dv,Q17B_dv,TEXT,,BOTH,Q17b. Red onions,Q17b. Oignons rouges
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q17C_dv,Q17C_dv,TEXT,,BOTH,Q17c. Other onions,Q17c. Autres oignons
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
freshherbs_dv,herbesfraiches_dv,TEXT,,BOTH,Any fresh herbs,Herbes fraîches
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q18,Q18,TEXT,,BOTH,Q18. Fresh basil,Q18. Basilic frais
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q19,Q19,TEXT,,BOTH,Q19. Fresh cilantro/coriander,Q19. Coriandre fraîche
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q20,Q20,TEXT,,BOTH,Q20. Fresh parsley,Q20. Persil frais
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q21,Q21,TEXT,,BOTH,Q21. Other fresh herbs,Q21. Autres fines herbes fraîches
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q21_O,Q21_O,TEXT,,BOTH,"Q21. Other fresh herbs, specify",Q21. Autres fines herbes fraîches préciser
,,CHOICE,TEXT,,Please Specify,Veuillez préciser
Q22_dv,Q22_dv,TEXT,,BOTH,Q22. Mangoes,Q22. Mangues
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q22A_dv,Q22A_dv,TEXT,,BOTH,Q22a. Fresh mangoes,Q22a. Mangues fraîches
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q22B_dv,Q22B_dv,TEXT,,BOTH,Q22b. Frozen mangoes,Q22b. Mangues surgelées
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q22C_dv,Q22C_dv,TEXT,,BOTH,Q22c. Dried mangoes,Q22c. Mangues séchées
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q23_dv,Q23_dv,TEXT,,BOTH,Q23. Papayas,Q23. Papayes
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q23A_dv,Q23A_dv,TEXT,,BOTH,Q23a. Fresh papayas,Q23a. Papayes fraîches
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q23B_dv,Q23B_dv,TEXT,,BOTH,Q23b. Frozen papayas,Q23b. Papayes surgelées
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q23C_dv,Q23C_dv,TEXT,,BOTH,Q23c. Dried papayas,Q23c. Papayes séchées
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q24_dv,Q24_dv,TEXT,,BOTH,Q24. Pomegranate,Q24. Grenades
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
Q24A_dv,Q24A_dv,TEXT,,BOTH,Q24a. Fresh pomegranate (including ready-to-eat seeds),Q24a. Grenades fraîches (y compris les graines prêtes à manger)
,,CHOICE,1,,Yes,Oui
,,CHOICE,2,,No,Non
