"variable_name","label","in_micro","has_fb1","has_fb2"
"anytom","Any tomatoes",TRUE,TRUE,TRUE
"tomcherry","Cherry or grape tomatoes",TRUE,TRUE,TRUE
"fb1_tomatoesonasandwichburgerortacoatrestaurantorfastfoodestablishment","Tomatoes on a sandwich, burger or taco at restaurant or fast food establishment*",TRUE,TRUE,FALSE
"tomroma","Roma/plum tomatoes*",TRUE,TRUE,FALSE
"tomhot","Hothouse tomatoes*",TRUE,TRUE,FALSE
"tombeef","Beefsteak tomatoes*",TRUE,TRUE,FALSE
"anylg","Any lettuce or leafy greens",FALSE,FALSE,FALSE
"iceberg","Iceberg lettuce",TRUE,TRUE,TRUE
"romaine","Romaine lettuce",TRUE,TRUE,TRUE
"spinach","Spinach",TRUE,TRUE,TRUE
"mesclun","Mesclun greens",TRUE,TRUE,TRUE
"kale","Kale",TRUE,FALSE,TRUE
"arugula","Arugula",TRUE,FALSE,TRUE
"otherlg","Other leafy greens",FALSE,FALSE,FALSE
"fb1_lettuceorleafygreensonasandwichburgerortacoatrestaurantorfastfoodestablishment","Lettuce or leafy greens on a sandwich, burger or taco at restaurant or fast  food establishment*",FALSE,FALSE,FALSE
"prepacklg","Pre-packaged lettuce or leafy greens",TRUE,FALSE,TRUE
"prepacksalad","Commercially pre-packaged salad kits",FALSE,FALSE,FALSE
"rtegreensal","Any store-bought or ready to eat green salad",FALSE,FALSE,FALSE
"cabbage","Cabbage (includes coleslaw)",TRUE,TRUE,TRUE
"coleslaw","Any coleslaw",TRUE,FALSE,TRUE
"sprout","Any microgreens or sprouts",FALSE,FALSE,FALSE
"alfalfa","Microgreens",TRUE,FALSE,TRUE
"beansprouts","Alfalfa sprouts",TRUE,TRUE,TRUE
"microgreen","Bean sprouts",TRUE,TRUE,FALSE
"osprout","Other sprouts",TRUE,FALSE,TRUE
"cucumber","Cucumbers",TRUE,TRUE,FALSE
"bpeppers","Bell peppers",TRUE,TRUE,TRUE
"hotpep","Hot peppers",TRUE,TRUE,FALSE
"pea","Peas (shelled or in pods)*",TRUE,TRUE,FALSE
"snappea","Sugar snap peas",TRUE,FALSE,TRUE
"gybeans","Green or yellow beans*",TRUE,TRUE,FALSE
"carrot","Any carrots*",TRUE,TRUE,FALSE
"fb1_carrotsnotmini","Carrots (not mini)*",FALSE,FALSE,FALSE
"minicar","Mini/baby carrots",TRUE,FALSE,TRUE
"mushroom","Mushrooms",TRUE,TRUE,TRUE
"onion","Any onions",FALSE,FALSE,FALSE
