"toolkit_var","in_merged_omd","in_fb1_raw","in_fb2_raw","fb2_varname","fb1_varname","source_category"
"anytom",TRUE,FALSE,TRUE,"Q4_dv",NA,"In Merged OMD (FB1+FB2)"
"tomcherry",TRUE,TRUE,FALSE,"Q4_dv","Q8_D_dv","In Merged OMD (FB1+FB2)"
"fb1_tomatoesonasandwichburgerortacoatrestaurantorfastfoodestablishment",FALSE,FALSE,FALSE,"Q4_dv",NA,"Missing from All OMD Data"
"tomroma",FALSE,TRUE,FALSE,"Q4_dv","Q8_A_dv","FB1 Only (Legacy)"
"tomhot",FALSE,TRUE,FALSE,"Q4_dv","Q8_B_dv","FB1 Only (Legacy)"
"tombeef",FALSE,TRUE,FALSE,"Q4_dv","Q8_C_dv","FB1 Only (Legacy)"
"anylg",FALSE,FALSE,TRUE,"Q5_dv",NA,"FB2 Only (Dropped in Merge)"
"iceberg",TRUE,TRUE,TRUE,"Q5A_dv","Q11_A_dv","In Merged OMD (FB1+FB2)"
"romaine",TRUE,TRUE,TRUE,"Q5B_dv","Q11_B_dv","In Merged OMD (FB1+FB2)"
"spinach",TRUE,TRUE,TRUE,"Q5C_dv","Q11_C_dv","In Merged OMD (FB1+FB2)"
"mesclun",TRUE,TRUE,FALSE,"Q4_dv","Q11_D_dv","In Merged OMD (FB1+FB2)"
"kale",TRUE,FALSE,TRUE,"Q5E_dv","Q8_D_dv","In Merged OMD (FB1+FB2)"
"arugula",TRUE,FALSE,TRUE,"Q5F_dv",NA,"In Merged OMD (FB1+FB2)"
"otherlg",FALSE,FALSE,FALSE,"Q4_dv","Q8_D_dv","Missing from All OMD Data"
"fb1_lettuceorleafygreensonasandwichburgerortacoatrestaurantorfastfoodestablishment",FALSE,FALSE,FALSE,"Q4_dv",NA,"Missing from All OMD Data"
"prepacklg",TRUE,FALSE,FALSE,"Q4_dv","Q8_D_dv","In Merged OMD (FB1+FB2)"
"prepacksalad",FALSE,FALSE,FALSE,"Q4_dv",NA,"Missing from All OMD Data"
"rtegreensal",FALSE,FALSE,FALSE,"Q4_dv","Q8_D_dv","Missing from All OMD Data"
"cabbage",TRUE,FALSE,FALSE,"Q4_dv",NA,"In Merged OMD (FB1+FB2)"
"coleslaw",TRUE,FALSE,FALSE,"Q4_dv","Q8_D_dv","In Merged OMD (FB1+FB2)"
"sprout",FALSE,FALSE,TRUE,"Q11_dv",NA,"FB2 Only (Dropped in Merge)"
"alfalfa",TRUE,FALSE,TRUE,"Q11A_dv","Q8_D_dv","In Merged OMD (FB1+FB2)"
"beansprouts",TRUE,TRUE,TRUE,"Q11B_dv","Q15_A_dv","In Merged OMD (FB1+FB2)"
"microgreen",FALSE,TRUE,TRUE,"Q11C_dv","Q15_B_dv","FB2 Only (Dropped in Merge)"
"osprout",TRUE,FALSE,TRUE,"Q11D_dv",NA,"In Merged OMD (FB1+FB2)"
"cucumber",FALSE,TRUE,TRUE,"Q12","Q16","FB2 Only (Dropped in Merge)"
"bpeppers",TRUE,TRUE,TRUE,"Q13","Q17","In Merged OMD (FB1+FB2)"
"hotpep",FALSE,TRUE,TRUE,"Q14","Q18","FB2 Only (Dropped in Merge)"
"pea",TRUE,FALSE,FALSE,"Q4_dv",NA,"In Merged OMD (FB1+FB2)"
"snappea",TRUE,FALSE,TRUE,"Q15","Q8_D_dv","In Merged OMD (FB1+FB2)"
"gybeans",TRUE,TRUE,FALSE,"Q4_dv","Q23","In Merged OMD (FB1+FB2)"
"carrot",TRUE,FALSE,FALSE,"Q4_dv","Q8_D_dv","In Merged OMD (FB1+FB2)"
"fb1_carrotsnotmini",FALSE,FALSE,FALSE,"Q4_dv",NA,"Missing from All OMD Data"
"minicar",TRUE,FALSE,TRUE,"Q10","Q8_D_dv","In Merged OMD (FB1+FB2)"
"mushroom",TRUE,TRUE,TRUE,"Q16","Q28","In Merged OMD (FB1+FB2)"
"onion",FALSE,FALSE,TRUE,"Q17_dv","Q8_D_dv","FB2 Only (Dropped in Merge)"
"grnonion",TRUE,TRUE,TRUE,"Q17A_dv","Q31_C_dv","In Merged OMD (FB1+FB2)"
"redonion",TRUE,TRUE,TRUE,"Q17B_dv","Q31_B_dv","In Merged OMD (FB1+FB2)"
"oonion",TRUE,FALSE,TRUE,"Q17C_dv",NA,"In Merged OMD (FB1+FB2)"
"yelonion",FALSE,TRUE,FALSE,"Q4_dv","Q31_A_dv","FB1 Only (Legacy)"
